Learn JLPT N2 Grammar: あげく (ageku) Meaning,"After waiting for 2 hours, the match ended up being postponed.",2時間も待たされたあげく、結局に試合は延期になった。,2じかんもまたされたあげく、けっきょくにしあいはえんきになった。,1
Learn JLPT N2 Grammar: あげく (ageku) Meaning,"After working overtime everyday, she collapsed and was hospitalized.",毎日の残業のあげく、彼女は倒れて入院することになりました。,まいにちのざんぎょうのあげく、かのじょはたおれてにゅういんすることになりました。,1
Learn JLPT N2 Grammar: あげく (ageku) Meaning,"After waiting at the popular ramen shop for 2 hours, they ended up sold out and I couldn't eat anything.",人気のラーメン店に２時間も並んだあげく、売り切れで食べられなかった。,にんきのラーメンみせに２じかんもならんだあげく、うりきれでたべられなかった。,1
Learn JLPT N2 Grammar: あげく (ageku) Meaning,"After thinking it over carefully about which university to enter, I decided on Kyoto University.",どの大学に入ろうかと、さんざん悩んだあげく、京都大学に決めた。,どのだいがくにはいろうかと、さんざんなやんだあげく、きょうとだいがくにきめた。,1
Learn JLPT N2 Grammar: あげく (ageku) Meaning,"After fighting countless times, they finally got a divorce.",彼らは夫婦げんかを繰り返したあげく、とうとう離婚した。,かれらはふうふげんかをくりかえしたあげく、とうとうりこんした。,1
Learn JLPT N2 Grammar: あげく (ageku) Meaning,"After being late countless times, he did not appologize to the store manager and ended up getting fired.",彼は、遅刻をくり返したあげく、店長に謝らなかったので、クビになった。,かれは、ちこくをくりかえしたあげく、てんちょうにあやまらなかったので、クビになった。,1
Learn JLPT N2 Grammar: あげく (ageku) Meaning,"After not studying and just goofing off all the time, my younger brother ended not getting a good job and has just been doing part-time work.",弟は、勉強しないで遊んだあげくに、就職にも失敗してずっとバイト生活をして いる。,おとうとは、べんきょうしないであそんだあげくに、しゅうしょくにもしっぱいしてずっとバイトせいかつをして いる。,1
Learn JLPT N2 Grammar: あげく (ageku) Meaning,"Today, a customer who came to the store and struggled for over an hour on what to buy, but in the end they didn't buy anything.",今日、店に来たお客さんは１時間も悩んだあげく、結局何も買わなかった。,きょう、みせにきたおきゃくさんは１じかんもなやんだあげく、けっきょくなにもかわなかった。,1
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,Please send it today via fax or mail.,今日中にファックス、あるいは、メールで送ってください。,きょうじゅうにファックス、あるいは、メールおくってください。,2
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,Please order either by phone or online.,ご注文は電話か、あるいはインターネットでお願いします。,ごちゅうもんはでんわか、あるいはインターネットでおねがいします。,2
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,How about Tuesday afternoon next week? Or Wednesday morning also works.,来週の火曜日の午後はどうですか。あるいは水曜日の午前でも構いませんが．．．,らいしゅうのかようびのごごはどうですか。あるいはすいようびのごぜんでもかまいませんが．．．,2
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,I'm not sure whether I should advance my education or start working.,進学するか、あるいは就職するか私は迷っています。,しんがくするか、あるいはしゅうしょくするかわたしはまよっています。,2
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,Perhaps that's true.,あるいはそれは本当かもしれない。,あるいはそれはほんとうかもしれない。,2
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,It may possibly be sunny tomorrow.,明日あるいは晴れるかもしれません。,あしたあるいははれるかもしれません。,2
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,Sorry! It's possible that I made a mistake.,ごめん、あるいは私が間違っていたかもしれない。,ごめん、あるいはわたしがまちがっていたかもしれない。,2
Learn JLPT N2 Grammar: あるいは (aruiwa) Meaning,He may possibly recover soon.,彼はあるいはすぐに回復するかもしれません。,かれはあるいはすぐにかいふくするかもしれません。,2
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,She lay in bed for about a half-hour.,彼女は30分ばかりベッドに横になった。,かのじょは30ぷんばかりベッドによこになった。,103
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,"If you continue on this road for about 5 minutes, that shop will be on your right.",５分ばかりこの道を行けば、右手にその店があります。,５ふんばかりこのみちをいけば、みぎてにそのみせがあります。,103
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,I think it takes about 2 hours to get to Sakura University.,さくら大学まで２時間ばかりで着くと思います。,さくらだいがくまで２じかんばかりでつくとおもいます。,103
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,Today I did programming for about 8 hours and my eyes are really tired.,今日は8時間ばかりプログラミングをやって、目が疲れた。,きょうは8じかんばかりプログラミングをやって、めがつかれた。,103
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,"Because I went hiking yesterday for about 4 hours, today my muscles are sore.",昨日は4時間ばかりハイキングをしたから、今日は筋肉が痛い。,きのうは4じかんばかりハイキングをしたから、きょうはきんにくがいたい。,103
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,I should be to do it in about ten minutes or so.,10分ばかりがあれば、出来ると思います。,じゅっぷんばかりがあれば、できるとおもいます。,103
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,"After seeing the murder, she could not sleep at night for about a week.",その殺人事件を見てから、彼女は1週間ばかり夜に眠れなかったそうです。,そのさつじんじけんをみてから、かのじょは1しゅうかんばかりよるにねむれなかったそうです。,103
Learn JLPT N2 Grammar: ばかり (bakari) Meaning About,"After arguing with her parents about studying abroad, she stayed in her room for about 2 days without eating anything.",留学のことで彼女は両親と喧嘩して、二日ばかり部屋にいって、何も食べなかった。,りゅうがくのことでかのじょはりょうしんとけんかして、ふつかばかりへやにいって、なにもたべなかった。,103
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,Their relationship just keeps getting worse.,あの二人の関係は悪くなるばかりだ。,あのふたりのかんけいはわるくなるばかりだ。,105
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,Prices just keep going up and up.,物価は上がるばかりだ。,ぶっかはあがるばかりだ。,105
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,This wound keeps getting worse and worse.,この傷が深くなるばかりだ。,このきずがふかくなるばかりだ。,105
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,Japan's population keeps continuing to decrease.,日本の人口が減るばかりです。,にほんのじんこうがへるばかりです。,105
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,"Even though I am taking medicine, my symptoms keep getting worse.",薬を飲んでいるのに、症状は悪くなるばかりだ。,くすりをのんでいるのに、しょうじょうはわるくなるばかりだ。,105
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,"Since my grandmother fell, her health has been getting worse and worse.",祖母が倒れてから、体の調子が悪くなるばかりだった。,そぼがたおれてから、からだのちょうしがわるくなるばかりだった。,105
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,I'm not working out and so my stamina keeps getting worse.,運動をしていないので、体力は落ちるばかりだ 。,うんどうをしていないので、たいりょくはおちるばかりだ 。,105
Learn JLPT N2 Grammar: ばかりだ (bakari da) Meaning,"As children grow older, their education costs just keep going up.",子どもが成長すると、教育費が増えるばかりだ。,こどもがせいちょうすると、きょういくひがふえるばかりだ。,105
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"This apartment is not only very small, it's also quite dark.",このマンションは狭いばかりか、暗いです。,このマンションはせまいばかりか、くらいです。,104
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"Not only can I not write kanji, but I can't even write hiragana or katakana.",私は、漢字ばかりか、ひらがなもカタカナも書けません。,わたしは、かんじばかりか、ひらがなもかけません。,104
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"Not only is this restaurant's food bad, but the service is also horrible.",このレストランは、味が悪いばかりか、店員の態度も悪い。,このレストランは、あじがわるいばかりか、てんいんのたいどもわるい。,104
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"Hanako is not only good at sports, but she also has excellent grades.",花子さんはスポーツが上手なばかりか、成績も優秀である。,はなこさんはスポーツがじょうずなばかりか、せいせきもゆうしゅうである。,104
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"Although our child is only 7, they can speak not only Japanese, but English as well.",うちの子は7歳なのに日本語ばかりか英語まで喋れるよ。,うちのこは７さいなのににほんごばかりかえいごまでしゃべれるよ。,104
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"The Queen was not only beautiful, but she had a kind heart as well.",女王は美しいばかりか心も優しかった。,じょおうはうつくしいばかりかこころもやさしかった。,104
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"Not only did he pass the exam, but he got a scholarship.",彼は試験に合格したばかりか奨学金までもらった。,かれはしけんにごうかくしたばかりかしょうがくきんまでもらった。,104
Learn JLPT N2 Grammar: ばかりか (bakari ka) Meaning,"Even though I lost my job, my old colleague helped lend me money for life expenses. Not only that, but he helped me find a new job.",失業している私に先輩は生活費を貸てくれた。そればかりか、新しい仕事を紹介してくれた。,しつぎょうしているわたしにせんぱいはせいかつひをかしてくれた。そればかりか、あたらしいしごとをしょうかいしてくれた。,104
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,I wasn't able to go on this trip since I don't have any money.,お金がないばかりに、今度の旅行に行けなかった。,おかねがないばかりに、こんどのりょこうにいけなかった。,106
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,"I watched a horror movie, which was really scary and now I can't seem to fall asleep.",ホラー映画を見たばかりに、怖くてなかなか寝られない。,ホラーえいがをみたばかりに、こわくてなかなかねられない。,106
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,I didn't listen to the advice of my senior and ended up making a huge mistake.,先輩のアドバイスを聞き入れなかったばかりに大きな失敗をしてしまった。,せんぱいのアドバイスをききいれなかったばかりにおおきなしっぱいをしてしまった。,106
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,I had a horrible experience all because I believed what he said.,彼の一言を信じたばかりにひどい目にあった。,かれのひとことをしんじたばかりにひどいめにあった。,106
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,I suffered since I lacked any experience.,経験がないばかりに苦労した。,けいけんがないばかりにくろうした。,106
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,I'm so sorry for any trouble I caused for everyone because I was late..,私が遅刻をしたばかりに皆に迷惑をかけてしまった。,わたしがちこくをしたばかりにみなにめいわくをかけてしまった。,106
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,I had a really hard time finding a new apartment just because I'm a foreigner..,外国人であるばかりに、アパート探しには苦労した。,がいこくじんであるばかりに、アパートさがしにはくろうした。,106
Learn JLPT N2 Grammar: ばかりに (bakari ni) Meaning,I was mistaken as a criminal just because our faces are similar.,顔が似ていたばかりに犯人と間違われた。,かおがにていたばかりにはんにんとまちがわれた。,106
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,Here is a souvenir. I bought it in Vietnam by the way.,これ、お土産だよ。ちなみにベトナムで買ったんだよ。,これ、おみやげだよ。ちなみにベトナムでかったんだよ。,38
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,"By the way, do you remember me?",ちなみに、私のことを覚えていますか？,ちなみに、わたしのことをおぼえていますか？,38
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,"Incidentally, I do not like sashimi or sushi.",ちなみに、私は刺身と寿司は好きではない。,ちなみに、わたしはさしみとすしはすきではない。,38
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,"I passed the N2! And by the way, I got a full score!",N2に合格したよ！ちなみに満点だったよ！,N2に合格したよ！ちなみに満点だったよ！,38
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,"By the way, please feel free to tell me if my Japanese is wrong.",ちなみに、私の日本語が間違ってたら遠慮なく言ってください。,ちなみに、わたしのにほんごがまちがってたらえんりょなくいってください。,38
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,"By the way, today is February 23rd, my wife's birthday.",ちなみに今日は2月23日、妻の誕生日です。,ちなみにきょうは2がつ23にち、つまのたんじょうびです。,38
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,"Next month, I will be going to travel to Taiwan. By the way, I've gone to Taiwan over 20 times now.",来月、台湾旅行に行きます。ちなみに台湾へは、これまでに20回も行ったんですよ。,らいげつ、たいわんりょこうにいきます。ちなみにたいわんへは、これまでに20かいもいったんですよ。,38
Learn JLPT N2 Grammar: ちなみに (chinamini) Meaning,"""This university has 1,000 undergraduate students and 100 graudate students.""""By the way, among them around what percent are female?""","「この大学には、学部生が1,000名、大学院生が100名います。」「ちなみに、そのうち女性は何割ぐらいですか。」","「このだいがくには、がくぶせいが1,000めい、だいがくいんせいが100めいいます。」「ちなみに、そのうちじょせいはなんわりぐらいですか。」",38
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,He doesn't drink any alcohol at all.,彼は酒はちっとも飲まない。,かれはさけはちっとものまない。,37
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,This product does not sell at all.,この商品はちっとも売れない。,このしょうひんはちっともうれない。,37
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,My wife doesn't know any English. She only speaks Japanese.,俺の妻は英語をちっとも知らない。彼女は日本語しか話せない。,おれのつまはえいごをちっともしらない。かのじょはにほんごしかはなせない。,37
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,He doesn't listen to anything his father says.,彼は父親の言うことをちっとも聞かない。,かれはちちおやのいうことをちっともきかない。,37
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,He doesn't understand the feelings of young women one bit.,彼は女の子の気持なんかちっともわからない。,かれはおんなのこのきもちなんかちっともわからない。,37
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,"Even though it's are day off of school, my older brother is obsessed with his game and won't play with me (at all).",休みの日なのに、兄はゲームを夢中でちっとも遊んでくれない。,やすみのひなのに、あにはゲームをむちゅうでちっともあそんでくれない。,37
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,I can't make sense at all of what he says.,彼の言う事は何の事かちっとも分からない。,かれのいうことはなんのことだかちっともわからない。,37
Learn JLPT N2 Grammar: ちっとも～ない (chitto mo~nai) Meaning,I really didn’t like the food they provided on the train.,列車で出される食事は、ちっとも好きじゃなかったんです。,れっしゃでだされるしょくじは、ちっともすきじゃなかったんです。,37
Learn JLPT N2 Grammar: だけあって (dake atte) Meaning,"This apartment is close to the station, so as expected the rent is expensive.",このアパートは駅に近いだけあって、やっぱり家賃も高い。,このアパートはえきにちかいだけあって、やっぱりやちんもたかい。,31
Learn JLPT N2 Grammar: だけあって (dake atte) Meaning,"As expected of a big city, there is always work to do.",さすが大都会だけあって何かしら仕事がある。,さすがだいとかいだけあってなにかしらしごとがある。,31
Learn JLPT N2 Grammar: だけあって (dake atte) Meaning,She is taking lessons at a cooking school and so the food she makes is really delicious.,料理教室に通っているだけあって、彼女の作る料理はとても美味しい。,りょうりきょうしつにかよっているだけあって、かのじょのつくるりょうりはとてもおいしい。,31
Learn JLPT N2 Grammar: だけあって (dake atte) Meaning,"As expected of this cheap bag, it broke right away.",このバッグは安いだけあってすぐに壊れてしまった。,このバッグはやすいだけあってすぐにこわれてしまった。,31
Learn JLPT N2 Grammar: だけあって (dake atte) Meaning,This is a very famous place and so there are lots of tourists.,この場所は有名なだけあって、たくさんの観光客がいる。,このばしょはゆうめいなだけあって、たくさんのかんこうきゃくがいる。,31
