敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,Dare he go alone?,彼はあえて一人で行く気ですか。,かれはあえてひとりでいくきですか。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,I ran a risk of advising her.,私はあえて彼女に忠告した。,わたしはあえてかのじょにちゅうこくした。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,I dared to support his opinion.,あえて彼の意見を支持した。,あえてかれのいけんをしじした。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,I don't dare call him.,私は、あえて彼に電話をしない。,わたしは、あえてかれにでんわをしない。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,"At that time, she didn't dare say anything.",その時彼女はあえて何も言わなかった。,そのときかのじょはあえてなにもいわなかった。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,Many people dare to work part-time jobs instead work as a full-time employee.,正社員じゃなく、あえてアルバイトとして働く人も多いです。,せいしゃいんじゃなく、あえてアルバイトとしてはたらくひともおおいです。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,"If it were me, I wouldn't dare say it exactly as I think outright.",私だったらそれを思いのまま言うようなことはあえてしない。,わたしだったらそれをおもいのままいうようなことはあえてしない。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
敢えて【あえて】(aete),dare to; daringly; deliberately; purposely ~,"Lately, people who dare to commute by bicycles instead of cars are increasing.",最近は、車じゃなくてあえて自転車で通勤する人が増えている。,さいきんは、くるまじゃなくてあえてじてんしゃでつうきんするひとがふえている。,https://jlptsensei.com/wp-content/uploads/2021/05/aete-敢えて-あえて-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,154
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,The sky is as blue as blue can be.,空はあくまでも青い。,そらはあくまでもあおい。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,I will definitely find her.,私はあくまでも彼女を見つけるつもりです。,わたしはあくまでもかのじょをみつけるつもりです。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,This schedule is still just a plan.,このスケジュールはあくまでも予定です。,このスケジュールはあくまでもよていです。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,We have made up our minds to fight it out.,我々はあくまでも戦い抜く決心をした。,われわれはあくまでもたたかいぬくけっしんをした。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,This job is only temporary and I'm not going to work here forever.,この仕事はあくまでも一時的で、永遠にここに働くつもりはない。,このしごとはあくまでもいちじてきで、えいえんにここにはたらくつもりはない。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,The boy persisted in wearing his hair long.,その男の子はあくまでも髪の毛を伸ばすことにこだわった。,そのおとこのこはあくまでもかみのけをのばすことにこだわった。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,That item is still very cheap for me even if the price increases.,あの商品は値上げても私にとってあくまでも安い。,あのしょうひんはねあげてもわたしにとってあくまでもやすい。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あくまでも (akumade mo),to the end; persistently; absolutely; is still very ~,"No matter how much you laugh, I will carry out my plan to the end.",君がいくら笑っても、僕はあくまでも自分の案を固守します。,きみがいくらわらっても、ぼくはあくまでもじぶんのあんをこしゅします。,https://jlptsensei.com/wp-content/uploads/2021/05/akumade-mo-あくまでも-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,1
あらかじめ (arakajime),beforehand; in advance; previously​,Please read the textbook in advance.,あらかじめ教科書を読んでください。,あらかじめきょうかしょをよんでください。,https://jlptsensei.com/wp-content/uploads/2021/05/arakajime-あらかじめ-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,3
あらかじめ (arakajime),beforehand; in advance; previously​,We have prepared snacks in advance.,私たちはあらかじめスナックを用意しておきました。,わたしたちはあらかじめスナックをよういしておきました。,https://jlptsensei.com/wp-content/uploads/2021/05/arakajime-あらかじめ-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,3
あらかじめ (arakajime),beforehand; in advance; previously​,I searched for an escape route in advance.,僕は逃げ道をあらかじめ探しました。,ぼくはにげみちをあらかじめさがしました。,https://jlptsensei.com/wp-content/uploads/2021/05/arakajime-あらかじめ-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,3
あらかじめ (arakajime),beforehand; in advance; previously​,I will print that document beforehand and bring it with me.,私はその資料をあらかじめ印刷して持参します。,わたしはそのしりょうをあらかじめいんさつしてじさんします。,https://jlptsensei.com/wp-content/uploads/2021/05/arakajime-あらかじめ-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,3
あらかじめ (arakajime),beforehand; in advance; previously​,We need to take that into account in advance.,私たちはそれをあらかじめ考慮しておく必要がある。,わたしたちはそれをあらかじめこうりょしておくひつようがある。,https://jlptsensei.com/wp-content/uploads/2021/05/arakajime-あらかじめ-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,3
あらかじめ (arakajime),beforehand; in advance; previously​,Please contact us in advance before visiting.,訪ねていらっしゃる前にあらかじめ連絡してください。,たずねていらっしゃるまえにあらかじめれんらくしてください。,https://jlptsensei.com/wp-content/uploads/2021/05/arakajime-あらかじめ-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,3
あらかじめ (arakajime),beforehand; in advance; previously​,I booked a restaurant in advance for the company's year-end party.,会社の忘年会のためにあらかじめレストランを予約しました。,かいしゃのぼうねんかいのためにあらかじめレストランをよやくしました。,https://jlptsensei.com/wp-content/uploads/2021/05/arakajime-あらかじめ-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,3
あっての (atte no),which can exist solely due to the presence of; which owes everything to,Life is dependent on having a healthy body.,健康な体あっての人生です。,けんこうなからだあってのじんせいです。,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
あっての (atte no),which can exist solely due to the presence of; which owes everything to,Please be careful of the language you use around our customers since they are essential for our business.,お客様あっての仕事だから、言葉遣いに気を付けてください。,おきゃくさまあってのしごとだから、ことばづかいにきをつけてください。,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
あっての (atte no),which can exist solely due to the presence of; which owes everything to,My happiness comes from my family. I wish everyone is able to live healthily without sickness.,私の幸せは家族あってのものだ。みんな病気をせず元気でいてほしい。,わたしのしあわせはかぞくあってのものだ。みんなびょうきをせずげんきでいてほしい。,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
あっての (atte no),which can exist solely due to the presence of; which owes everything to,Our health is essential for our lives. Let's do our best to avoid eating unhealthy foods.,健康あっての人生だ。不健康なものを食べないように頑張りましょう！,けんこうあってのじんせいだ。ふけんこうなものをたべないようにがんばりましょう！,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
あっての (atte no),which can exist solely due to the presence of; which owes everything to,"The school depends on the students, so no matter how good the facilities are, even if there are wonderful teachers, it doesn't make sense if students don't come.",学生あっての学校ですから、いくら設備が良くても、素晴らしい先生がいても、学生が来なければ意味がない。,がくせいあってのがっこうですから、いくらせつびがよくても、すばらしいせんせいがいても、がくせいがこなければいみがない。,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
あっての (atte no),which can exist solely due to the presence of; which owes everything to,I was able to advance so quickly because of the strict guidance of my boss.,自分がこんなに早く出世できたのは、厳しい上司の指導あってのことです。,じぶんがこんなにはやくしゅっせできたのは、きびしいじょうしのしどうあってのことです。,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
あっての (atte no),which can exist solely due to the presence of; which owes everything to,"Since it is a job for customers, we are grateful to the customers who always come to our store.",お客様あっての仕事ですから、いつもご来店いただくお客様には感謝しております。,おきゃくさまあってのしごとですから、いつもごらいてんいただくおきゃくさまにはかんしゃしております。,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
あっての (atte no),which can exist solely due to the presence of; which owes everything to,"Beauty depends on good health, so I'm against an unreasonable diet.",健康あっての美しさですから、無理なダイエットには反対です。,けんこうあってのうつくしさですから、むりなダイエットにははんたいです。,https://jlptsensei.com/wp-content/uploads/2018/05/atte-no-あっての-jlpt-n1-grammar-meaning-文法-例文-japanese-flashcards-600x338.png,2
