1,明かり,akari,あかり,['Noun'],light; illumination; glow; gleam
2,明ける,akeru,あける,"['Verb', 'Ichidan verb', 'Transitive verb']","to dawn,to become daylight"
3,明らか,akiraka,あきらか,"['Adjective', 'な-adjective']",clear; obvious
4,悪魔,akuma,あくま,['Noun'],devil; demon; fiend; Satan
5,暗記,anki,あんき,"['Noun', 'Verb', 'Suru verb']",memorization; learning by heart
6,新た,arata,あらた,"['Noun', 'Adjective', 'な-adjective']",new; fresh; novel
7,有らゆる,arayuru,あらゆる,['Pre-noun adjectival'],all; every​
8,集まり,atsumari,あつまり,['Noun'],gathering; meeting; assembly; collection; attendance
9,部分,bubun,ぶぶん,['Noun'],portion; section; part
10,分,bun,ぶん,"['Noun', 'Suffix']",part; segment; share; ration
11,文明,bunmei,ぶんめい,['Noun'],civilization; culture
12,分析,bunseki,ぶんせき,"['Noun', 'Verb', 'Suru verb']",analysis
13,分野,bunya,ぶんや,['Noun'],field; sphere; realm; division; branch
14,父親,chichioya,ちちおや,['Noun'],father
15,地平線,chiheisen,ちへいせん,['Noun'],horizon (related to land)​
16,地位,chii,ちい,['Noun'],(social) position; status
17,長期,chouki,ちょうき,['Noun'],long-term
18,中,chuu,ちゅう,"['Noun', 'Prefix', 'Suffix']",during; while; medium; middle
19,中学,chuugaku,ちゅうがく,['Noun'],junior high school; middle school
20,昼食,chuushoku,ちゅうしょく,['Noun'],lunch; midday meal
21,大部分,daibubun,だいぶぶん,['Noun'],most part; greater part; majority
22,駄目,dame,だめ,"['Noun', 'Adjective', 'な-adjective']",no good; cannot
23,男子,danshi,だんし,['Noun'],youth; young man
24,出会い,deai,であい,['Noun'],meeting; rendezvous; encounter
25,出会う,deau,であう,['Verb'],to meet (by chance); to come across; to run across; to encounter
26,読書,dokusho,どくしょ,"['Noun', 'Verb', 'Suru verb']",reading
27,努力,doryoku,どりょく,"['Noun', 'Verb', 'Suru verb']",effort; exertion; endeavor; hard work; striving
28,同一,douitsu,どういつ,"['Adjective', 'な-adjective']",identical; same; one and the same; equal
29,円,en,えん,['Noun'],yen; Japanese monetary unit; circle
30,不利,furi,ふり,"['Noun', 'Adjective', 'な-adjective']",disadvantage; handicap; unfavorable position
31,不足,fusoku,ふそく,"['Noun', 'Adjective', 'な-adjective', 'Verb', 'Suru verb']",insufficiency; shortage; deficiency; lack; dearth
32,再び,futatabi,ふたたび,['Adverb'],again; once more; a second time
33,外交,gaikou,がいこう,['Noun'],diplomacy
34,外出,gaishutsu,がいしゅつ,"['Noun', 'Verb', 'Suru verb']","going out; outing; leaving (one's home, office, etc.)"
35,学期,gakki,がっき,['Noun'],school term; semester
36,学,gaku,がく,"['Noun', 'Suffix']",learning; education; study of
37,学問,gakumon,がくもん,"['Noun', 'Verb', 'Suru verb']",scholarship; study; learning
38,学者,gakusha,がくしゃ,['Noun'],scholar
39,学習,gakushuu,がくしゅう,"['Noun', 'Verb', 'Suru verb']",study; learning; tutorial
40,議長,gichou,ぎちょう,['Noun'],chairman; president; moderator
41,議会,gikai,ぎかい,['Noun'],congress; parliament; diet; legislative assembly
42,語学,gogaku,ごがく,['Noun'],study of foreign languages; linguistics
43,激しい,hageshii,はげしい,"['Adjective', 'い-adjective']",violent; extreme; intense
44,母親,hahaoya,ははおや,['Noun'],mother
45,博物館,hakubutsukan,はくぶつかん,['Noun'],museum
46,販売,hanbai,はんばい,"['Noun', 'Verb', 'Suru verb']",sales; selling; marketing
47,発明,hatsumei,はつめい,"['Noun', 'Adjective', 'な-adjective', 'Verb', 'Suru verb']",invention
